Account Code,Territory
78973104,Gracklstugh
68808447,Tyraturos
97994203,Cedarspoke
78025705,Dashadjen
67173182,Adama's Tooth
43895769,Marsember
79919946,Priapurl
86540562,Azureleaf
60980581,Sundabar
81897524,Adama's Tooth
63309072,Mereu
21149045,Arrabar
46251653,Vaelan
36775646,Athkatla
22808914,Mantol Dereith
55855383,Theshburl
43833583,Lundeth
44804234,Tyraturos
10838362,Alaghon
59061340,Telos City
39109211,Caer Callidyrr
71386563,Uluvin
27684321,Mucklestones
57280620,Arrabar
77509122,Wyrmspine
72667515,Urmlaspyr
60182076,Alaghon
96189292,Alaghon
94035522,Alaghon
83515451,Alaghon
13044487,Alaghon
42388389,Kai Shan
78292360,Horsa
14664262,Candlekeep
46361474,Memnonnar
30533547,Malaxer
79634925,Hilltop
43486610,Ordulin
87629297,Dwarven Valley
92487613,Paletorch
16058997,Bryn Shander
92665154,Fort Belurian
31106779,Rauvincross
95107984,Friendly Arm Inn
91051188,Tharsult
84294255,Lushpool
27924011,Paletorch
70961130,Ironfang Keep
75799261,Farview
46916955,Nykkar
45081176,Halagard
36928178,Scornubel
18807493,Olafstaad
55902734,Mirabar
49024078,Surthay
26880401,Praka
81847575,Shimmerglade
11964612,Messemprar
34189663,Nethyr
52745581,Ilmwatch
24384843,Silverymoon
71841667,Telflamm
45723145,Oman
29177122,Silverymoon
29449884,Dilpur
64335876,Caer Callidyrr
55296611,Keltar
34932550,Urmlaspyr
72234962,Caer Moray
29673684,Eveningstar
51447742,Sundabar
62532723,Amphail
84790672,Amruthar
15331924,Arkanax
90761539,Olafstaad
99241966,Pengram
70843527,Mulsantir
59735751,Sundabar
13241942,Iljak
59385131,Port Nowhere
10890588,Keltar
35956573,Eltabbar
19331688,Memnon
28016390,Targos
84775534,Ironmaster
27884740,Lushpool
73420192,Menzoberranzan
34392832,Wyrmspine
73756591,Waymoot
83776316,Palost Port
51196829,Gnarhelm
93839889,Holondeth
32053558,Emelone
59897812,Iljak
77130185,Arn Rock
28753788,Norheim
93107603,Arabel
57411920,Nashkel
89180938,Ravenstone
88780315,Furthinghome
66597790,Kuo Te' Lung
51339179,Phant
58455311,Nethyr
21374613,Silverymoon
71615032,Darromar
15825062,Koko Nur
17395880,Wai
72102224,Mussum
74382879,Ironmaster
98262112,Mucklestones
64619764,Lundeth
19324588,Arabel
76556987,Heptios
17895257,Norheim
26786524,Nyth
37083109,Arkanax
70092869,Arkanax
50771386,Arkanax
44367396,Arkanax
74015487,Hilltop
67170944,Eshpurta
34751008,Menzoberranzan
99221299,Arrabar
28984928,Arrabar
17772820,Arrabar
13920922,Arrabar
32739873,Arrabar
22063836,Dusk Hold
13491020,Eshpurta
27986442,Vaelan
74725025,Gnarhelm
50987880,Shimmerglade
59826762,The Nath
84906799,Emmesh
25481102,Arabel
50962155,Port Kir
85441975,Assur
48314386,Assur
97959078,Athkatla
10148490,Athkatla
74323924,Athkatla
91139783,Athkatla
79856930,Athkatla
13361720,Emmesh
94963978,Cedarspoke
24840445,Sambar
54122917,Nyth
88460988,Arabel
78496299,Amphail
15228624,Fort Belurian
96922255,Paletorch
69490754,Myratma
70032100,Nethyr
51814654,Citadel of Conjurers
12199049,Mount Talath
56093385,Huzuz
91222131,Krenalir
24959190,Thornhold
55433124,Nykkar
52340342,Old Vaelan
31912330,Messemprar
52804984,Baldur's Gate
55078760,Baldur's Gate
41492931,Baldur's Gate
42542141,Baldur's Gate
67219059,Baldur's Gate
86533149,Kork
89223039,Hundlestone
85438109,Tyraturos
13326321,Mulsantir
60261745,Dilpur
89006220,Calimport
35602972,Candlekeep
35148786,Messemprar
65329269,Blackstone
28595135,Yuthgalaunt
36291555,Waymoot
46912153,Beluir
71373123,Beluir
13773886,Beluir
77021874,Maur-Eturo
42729291,Tilbrand
94521196,Waterdeep
49448682,Candlekeep
10961825,Berdusk
91662056,Berdusk
60501287,Wai
43861952,Mount Talath
81251608,Cedarspoke
45408167,Bezentil
99454786,Riatavin
87431476,Dashadjen
34914779,Alaghon
39840732,Arabel
73542715,Arkanax
60506575,Arrabar
65213313,Athkatla
69480275,Baldur's Gate
70990271,Beluir
10029924,Berdusk
24548422,Caer Moray
84633028,Caer Westphal
82549867,Calimport
17226298,Cathyr
36574313,Cedarspoke
67421616,Cimbar
79678181,Citadel Adbarr
40453158,Citadel Felbarr
92961761,Crimmor
21269208,Daerlun
28374315,Darromar
75347128,Dilpur
24056219,Elturel
56529812,Erebos
62967317,Eshpurta
27516213,Eversult
54304032,Gauntlgrym
54179640,Halagard
33510530,Heliogabalus
10557002,Heptios
67777118,Holondeth
78959067,Iljak
63115531,Krenalir
42676874,Lushpool
25899316,Malaxer
36193835,Maralith
11557490,Marsember
57869507,Memnon
33662810,Messemprar
15467634,Mithral Hall
70028735,Mount Talath
69307834,Murann
89546823,Mussum
72536440,Myratma
80718657,Myth Drannor
25036473,Nyth
86204468,Ordulin
89190194,Phannaskul
65857133,Riatavin
43781660,Secomber
45838887,Shamph
32025407,Shoun
65088305,Silverymoon
92966980,Starmantle
80157312,Sundabar
74659319,Suzail
49592061,The Nath
15978405,The Smoking Keep
14400703,Thindar
38265511,Tilverton
61446856,Toreus
61180918,Trademeet
82113640,Triel
19375645,Velen
73362842,Waterdeep
94133520,Yuthgalaunt
68054556,Zabbasz
46054109,Zalazuu
10419499,Blackstone
72673261,Assur
46419568,Nykkar
74631024,Sundrah
75601510,Malaxer
18404294,Erebos
61231701,Mulsantir
66194736,Yuthgalaunt
50176731,Koko Nur
38648727,Kai Shan
21110199,Aerilpar
29294248,Alaghon
40800291,Arkanax
92741940,Arrabar
90418923,Assur
42115373,Athkatla
71265203,Baldur's Gate
70780072,Berdusk
88720360,Bezentil
31522741,Calimport
63920819,Cedarspoke
17625389,Cimbar
53763616,Citadel Adbarr
31420081,Citadel Felbarr
62851907,Crimmor
51575098,Daerlun
94199106,Daggerford
91268308,Darromar
49599273,Dilpur
47750765,Elturel
28946408,Erebos
73411560,Eshpurta
72429763,Everlund
62641964,Eversult
44977250,Farview
71080611,Halagard
25889759,Heliogabalus
48218174,Heptios
91858630,Holondeth
28881619,Huzuz
44506871,Iriaesbor
88388265,Krenalir
48273162,Lhuvenhead
87251676,Malaxer
23255270,Maralith
25224048,Marsember
57592398,Memnon
40617136,Mereu
25158099,Messemprar
13402749,Mithral Hall
29826720,Mount Talath
53172184,Murann
50077543,Mussum
80545067,Myratma
12243458,Nexal
81852057,Ordulin
49920522,Phannaskul
75638346,Proskur
36329613,Riatavin
43106209,Saerloon
64462361,Sambar
11633084,Secomber
34545100,Silverymoon
60062395,Starmantle
64597601,Sundrah
21653494,Suzail
76139635,Thunderstone
37489940,Toreus
49112754,Trademeet
74696979,Tyraturos
59383167,Vaelan
68444360,Velen
22894556,Waterdeep
30606174,Yuthgalaunt
26900899,Zabbasz
17129449,Zalazuu
