Territory,NumberOfOrders
Adama's Tooth,966
Aerilpar,886
Alaghon,2292
Amphail,1329
Amruthar,1087
Arabel,1055
Arkanax,2125
Arn Rock,1049
Arrabar,1974
Assur,1162
Athkatla,2623
Auckney,1036
Azureleaf,1344
Baldur's Gate,2494
Beluir,1388
Berdusk,1794
Beregost,524
Berranzo,766
Bezentil,1006
Blackstone,787
Blingdenstone,736
Bloodstone (Damara),720
Bloodstone (Vaasa),680
Bryn Shander,950
Caer Callidyrr,988
Caer Moray,1332
Caer Westphal,1710
Calimport,1952
Candlekeep,1637
Cathyr,1266
Cedarspoke,1642
Cimbar,1879
Citadel Adbarr,2043
Citadel Felbarr,2347
Citadel of Conjurers,1323
Conyberry,778
Crimmor,2292
Daerlun,1792
Daggerford,668
Darmshall,142
Darromar,2571
Dashadjen,852
Dilpur,2001
Dusk Hold,995
Duskan,1165
Dwarven Valley,991
Easting,1212
Eltabbar,1697
Elturel,1823
Emelone,999
Emmesh,1239
Erebos,2301
Eshpurta,2592
Eveningstar,1015
Everlund,1063
Eversult,1488
Farview,1301
Fireshear,603
Fort Belurian,767
Fort Calim,760
Fort Morninglord,858
Friendly Arm Inn,666
Furthinghome,1265
Gauntlgrym,1721
Gnarhelm,1053
Goldenfields,815
Gracklstugh,1341
Grondsgrunn,657
Gundbarg,348
Halagard,2413
Hammerstaad,472
Harrowdale,765
Heliogabalus,1728
Helm's Hold,577
Heptios,2146
High Hold,1883
Highrock,780
Hilltop,681
Hlath,1962
Holondeth,1559
Horsa,646
Hundlestone,1172
Huzuz,1858
Iljak,1875
Ilmwatch,1826
Iriaesbor,1673
Ironfang Keep,725
Ironmaster,1125
Ironspur,1025
Jalanthar,936
Kai Shan,900
Keltar,906
Khaerbaal,1554
Koko Nur,1102
Korinn,894
Kork,320
Krenalir,2677
Kuo Te' Lung,357
Leilon,675
Lhuvenhead,905
Lundeth,1301
Lushpool,1937
Luskan,1237
Lyrabar,1571
Malaxer,2354
Manshaka,1004
Mantol Dereith,211
Maralith,2259
Marsember,2118
Maur-Eturo,894
Memnon,1514
Memnonnar,1004
Menzoberranzan,1142
Mereu,1392
Messemprar,2632
Mintarn,897
Mirabar,1238
Mithral Hall,2005
Morningstar Hollows,912
Mount Talath,1741
Mucklestones,1441
Mulsantir,1426
Murann,1654
Mussum,2138
Myratma,1300
Myth Drannor,1325
Nashkel,991
Nethyr,1444
Neverwinter,1226
New Alaron,1214
New Sarshel,1165
Nexal,2052
Norheim,1029
Nykkar,1059
Nyth,1572
Ogden,564
Olafstaad,841
Old Vaelan,1189
Oman,945
Ordulin,2133
Paletorch,1364
Palischuk,837
Palost Port,981
Pengram,1220
Phandalin,1007
Phannaskul,2610
Phant,1373
Phent,658
Port Castigliar,1248
Port Kir,1011
Port Nowhere,1558
Port Nyanzaru,737
Praka,760
Priapurl,1137
Proskur,944
Purple Rock Isles,710
Rauvincross,1008
Ravenstone,896
Red Larch,459
Regent's Field,1156
Riatavin,1877
Rivermoot,836
Rogarsheim,910
Ruathym,908
Saerloon,1433
Sambar,1451
Scornubel,1318
Secomber,1870
Shamph,1508
Shimmerglade,1243
Shoun,1369
Silverymoon,2114
Singing Sands,810
Skuld,687
Starmantle,2436
Sundabar,1354
Sunderstaad,852
Sundrah,1080
Surthay,1202
Suzail,1671
Targos,1312
Telflamm,1133
Telos City,2269
Tharsult,992
The Nath,1688
The Smoking Keep,1869
Theshburl,889
Thindar,1578
Thornhold,1581
Thunderstone,774
Tilbrand,1157
Tilverton,892
Toreus,1206
Trademeet,2248
Triel,1661
Tyraturos,1573
Uluvin,1354
Urmlaspyr,2102
Vaelan,1140
Valls,817
Velen,1699
Velprintalar,917
Wai,949
Waterdeep,2509
Waymoot,1719
Whalebone Isles,917
Wyrmspine,1642
Yhaunn,965
Yuthgalaunt,2026
Zabbasz,1686
Zalazuu,1842
Zazesspur,1423
